class id,filepaths,label,scientific name,Big Garden Bird Watch '22 Rank,BoCC5 Status,Source
0,withBackground/House_Sparrow/(1)jpg,House_Sparrow,Passer domesticus,1,Red,https://idfg.idaho.gov/species/sites/default/files/taxa/78516_orig.jpg
0,withBackground/House_Sparrow/(2)jpg,House_Sparrow,Passer domesticus,1,Red,http://calphotos.berkeley.edu/imgs/512x768/0000_0000/0907/0021.jpeg
0,withBackground/House_Sparrow/(3)jpg,House_Sparrow,Passer domesticus,1,Red,http://www.tf79.ch/nature/photos/passer-domesticus002.jpg
0,withBackground/House_Sparrow/(4)jpg,House_Sparrow,Passer domesticus,1,Red,https://img2.juzaphoto.com/001/shared_files/uploads_hr/1204831_large31651.jpg
0,withBackground/House_Sparrow/(5)jpg,House_Sparrow,Passer domesticus,1,Red,http://dinodata.de/images/birds/birds_p/~passer/passer_domesticus_pd.jpg
0,withBackground/House_Sparrow/(6)jpg,House_Sparrow,Passer domesticus,1,Red,https://prometheus.med.utah.edu/~bwjones/wp-content/uploads/2016/02/Passer-Domesticus.jpg
0,withBackground/House_Sparrow/(7)jpg,House_Sparrow,Passer domesticus,1,Red,https://www.naturephoto-cz.com/photos/mraz/passer-domesticus-42x_17a827.jpg
0,withBackground/House_Sparrow/(8)jpg,House_Sparrow,Passer domesticus,1,Red,https://live.staticflickr.com/4803/46049741291_25424ee9a8_c.jpg
0,withBackground/House_Sparrow/(9)jpg,House_Sparrow,Passer domesticus,1,Red,http://gallery.new-ecopsychology.org/photo/birds/House_Sparrow_(passer_domesticus)-2.jpg
0,withBackground/House_Sparrow/(10)jpg,House_Sparrow,Passer domesticus,1,Red,https://rixpix.se/wp-content/gallery/sparrows-aug-26/DSC4851.jpg
0,withBackground/House_Sparrow/(11)jpg,House_Sparrow,Passer domesticus,1,Red,https://img.fotocommunity.com/passer-domesticus-01f62bd4-6391-4319-9c70-f60c48238c98.jpg?height=1080
0,withBackground/House_Sparrow/(12)jpg,House_Sparrow,Passer domesticus,1,Red,https://www.naturephoto-cz.com/photos/birds/passer-domesticus-127940.jpg
0,withBackground/House_Sparrow/(13)jpg,House_Sparrow,Passer domesticus,1,Red,https://www.naturephoto-cz.com/photos/birds/passer-domesticus-52623.jpg
0,withBackground/House_Sparrow/(14)jpg,House_Sparrow,Passer domesticus,1,Red,http://birds.nature4stock.com/wp-content/uploads/2009/02/passer-domesticus-img_0641.jpg
0,withBackground/House_Sparrow/(15)jpg,House_Sparrow,Passer domesticus,1,Red,https://www.zoochat.com/community/media/passer-domesticus.520883/full?d=1616431291
0,withBackground/House_Sparrow/(16)jpg,House_Sparrow,Passer domesticus,1,Red,https://www.naturephoto-cz.com/photos/birds/passer-domesticus-29144.jpg
0,withBackground/House_Sparrow/(17)jpg,House_Sparrow,Passer domesticus,1,Red,http://birds.nature4stock.com/wp-content/uploads/2009/02/passer-domesticus-img_5551.jpg
0,withBackground/House_Sparrow/(18)jpg,House_Sparrow,Passer domesticus,1,Red,https://img2.juzaphoto.com/002/shared_files/uploads/2115748_l.jpg
0,withBackground/House_Sparrow/(19)jpg,House_Sparrow,Passer domesticus,1,Red,https://www.naturephoto-cz.com/photos/mraz/passer-domesticus-72x_15a551.jpg
0,withBackground/House_Sparrow/(20)jpg,House_Sparrow,Passer domesticus,1,Red,https://www.naturephoto-cz.com/photos/birds/passer-domesticus-135044.jpg
0,withBackground/House_Sparrow/(21)jpg,House_Sparrow,Passer domesticus,1,Red,http://www.naturephoto-cz.com/photos/sevcik/passer-domesticus--vrabec_dom.jpg
0,withBackground/House_Sparrow/(22)jpg,House_Sparrow,Passer domesticus,1,Red,http://www.naturephoto-cz.com/photos/mraz/passer-domesticus-xxx11a925.jpg
0,withBackground/House_Sparrow/(23)jpg,House_Sparrow,Passer domesticus,1,Red,https://www.naturephoto-cz.com/photos/birds/passer-domesticus-127946.jpg
0,withBackground/House_Sparrow/(24)jpg,House_Sparrow,Passer domesticus,1,Red,https://rixpix.se/wp-content/gallery/sparrows-aug-26/DSC4859.jpg
0,withBackground/House_Sparrow/(25)jpg,House_Sparrow,Passer domesticus,1,Red,http://www.naturephoto-cz.com/photos/birds/passer-domesticus-134775.jpg
0,withBackground/House_Sparrow/(26)jpg,House_Sparrow,Passer domesticus,1,Red,http://www.hlasek.com/foto/passer_domesticus_hb0402.jpg
0,withBackground/House_Sparrow/(27)jpg,House_Sparrow,Passer domesticus,1,Red,https://animaldiversity.org/collections/contributors/luis_tejo/passerdomesticus/large.jpg
0,withBackground/House_Sparrow/(28)jpg,House_Sparrow,Passer domesticus,1,Red,https://focusonfauna.files.wordpress.com/2016/09/house-sparrow-passer-domesticus-dscn9482.jpg
0,withBackground/House_Sparrow/(29)jpg,House_Sparrow,Passer domesticus,1,Red,https://www.naturephoto-cz.com/photos/birds/passer-domesticus-41919.jpg
0,withBackground/House_Sparrow/(30)jpg,House_Sparrow,Passer domesticus,1,Red,https://rixpix.se/wp-content/gallery/sparrows-aug-26/DSC4879.jpg
0,withBackground/House_Sparrow/(31)jpg,House_Sparrow,Passer domesticus,1,Red,https://www.naturephoto-cz.com/photos/birds/passer-domesticus-127939.jpg
0,withBackground/House_Sparrow/(32)jpg,House_Sparrow,Passer domesticus,1,Red,https://animaldiversity.org/collections/contributors/phil_myers/classic/House_Sparrow/large.jpg
0,withBackground/House_Sparrow/(33)jpg,House_Sparrow,Passer domesticus,1,Red,https://www.naturephoto-cz.com/photos/mraz/passer-domesticus-72x_19a552.jpg
0,withBackground/House_Sparrow/(34)jpg,House_Sparrow,Passer domesticus,1,Red,https://avocet.integrativebiology.natsci.msu.edu/photos_data/685/original.jpg
0,withBackground/House_Sparrow/(35)jpg,House_Sparrow,Passer domesticus,1,Red,https://www.naturephoto-cz.com/photos/birds/passer-domesticus-127947.jpg
0,withBackground/House_Sparrow/(36)jpg,House_Sparrow,Passer domesticus,1,Red,https://avocet.integrativebiology.natsci.msu.edu/photos_data/687/original.jpg
0,withBackground/House_Sparrow/(37)jpg,House_Sparrow,Passer domesticus,1,Red,http://www.naturephoto-cz.com/photos/birds/passer-domesticus-3722.jpg
0,withBackground/House_Sparrow/(38)jpg,House_Sparrow,Passer domesticus,1,Red,http://www.exworld.fr/WordPress/wp-content/images/septembre-2020/Passer-domesticus-10.jpg
0,withBackground/House_Sparrow/(39)jpg,House_Sparrow,Passer domesticus,1,Red,http://birds.nature4stock.com/wp-content/uploads/2009/02/passer-domesticus-img_0727.jpg
0,withBackground/House_Sparrow/(40)jpg,House_Sparrow,Passer domesticus,1,Red,https://live.staticflickr.com/65535/48760006413_53fcb0e0c0.jpg
0,withBackground/House_Sparrow/(41)jpg,House_Sparrow,Passer domesticus,1,Red,http://www.naturephoto-cz.com/photos/sevcik/passer-domesticus--vrabec_dom_female.jpg
0,withBackground/House_Sparrow/(42)jpg,House_Sparrow,Passer domesticus,1,Red,http://upload.wikimedia.org/wikipedia/commons/0/0d/House_Sparrow_(Passer_domesticus)-_Female_in_Kolkata_I_IMG_3787.jpg
0,withBackground/House_Sparrow/(43)jpg,House_Sparrow,Passer domesticus,1,Red,https://www.naturephoto-cz.com/photos/birds/passer-domesticus-135048.jpg
0,withBackground/House_Sparrow/(44)jpg,House_Sparrow,Passer domesticus,1,Red,https://www.naturephoto-cz.com/photos/mraz/passer-domesticus-63x_19a549.jpg
0,withBackground/House_Sparrow/(45)jpg,House_Sparrow,Passer domesticus,1,Red,https://www.naturephoto-cz.com/photos/mraz/passer-domesticus-64x_19a550.jpg
0,withBackground/House_Sparrow/(46)jpg,House_Sparrow,Passer domesticus,1,Red,http://www.naturephoto-cz.com/fullsize/birds/house-sparrow-127940.jpg
0,withBackground/House_Sparrow/(47)jpg,House_Sparrow,Passer domesticus,1,Red,http://images.dpchallenge.com/images_challenge/1000-1999/1144/1200/Copyrighted_Image_Reuse_Prohibited_841828.jpg
0,withBackground/House_Sparrow/(48)jpg,House_Sparrow,Passer domesticus,1,Red,http://www.wildlifeinsight.com/wp-content/gallery/gb_birds/housesparrow_2448.jpg
0,withBackground/House_Sparrow/(49)jpg,House_Sparrow,Passer domesticus,1,Red,https://www.naturephoto-cz.com/photos/birds/passer-domesticus-134775.jpg
0,withBackground/House_Sparrow/(50)jpg,House_Sparrow,Passer domesticus,1,Red,https://live.staticflickr.com/3427/3377900360_c05a17d83b.jpg
0,withBackground/House_Sparrow/(51)jpg,House_Sparrow,Passer domesticus,1,Red,http://parfaitimage.com/Images/Aves/Passer_domesticus_2008-04-26.jpg
0,withBackground/House_Sparrow/(52)jpg,House_Sparrow,Passer domesticus,1,Red,https://i.pinimg.com/originals/22/7d/f0/227df0d0f2d775afae34fa237c7433b6.jpg
0,withBackground/House_Sparrow/(53)jpg,House_Sparrow,Passer domesticus,1,Red,https://1.bp.blogspot.com/-D-AMjJCpsCc/V4KHZyqRUDI/AAAAAAAAW9s/s0P2CqubfT8bxb6NwHdvZN5qs5yABHIUQCLcB/s1600/House%2Bsparrow%252BPasser%2Bdomesticus%252BChorui%2Bpakhi%252B01.JPG
0,withBackground/House_Sparrow/(54)jpg,House_Sparrow,Passer domesticus,1,Red,https://live.staticflickr.com/2875/13380466854_60c2668efe.jpg
0,withBackground/House_Sparrow/(55)jpg,House_Sparrow,Passer domesticus,1,Red,https://www.biolib.cz/IMG/GAL/78530.jpg
0,withBackground/House_Sparrow/(56)jpg,House_Sparrow,Passer domesticus,1,Red,https://ukrbin.com/files/med/63/IMG_6573.jpg
